Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F
1_051_B1_3_h,1,2,51,1,1,h,3,0.0,12,90.9,90.4,na,6,0.25,310,0.13,1.171,4.506,0.366,1.878,132.0,4.608,83.42,59.72,25.89,105.8095785
1_051_B1_1_i,1,2,51,1,1,i,1,0.0,12,90.9,90.4,na,1,0.25,310,0.07,0.393,1.921,0.223,2.276,91.2,2.241,55.84,42.95,22.11,73.83535874
1_051_B1_1_i,1,2,51,1,1,i,1,0.0,12,90.9,90.4,na,2,0.25,310,0.07,0.388,1.933,0.444,2.374,85.1,2.132,55.84,42.95,22.11,73.83535874
1_051_B1_1_i,1,2,51,1,1,i,1,0.0,12,90.9,90.4,na,3,0.25,310,0.07,0.378,1.77,0.168,2.085,76.2,2.083,55.84,42.95,22.11,73.83535874
1_051_B1_1_i,1,2,51,1,1,i,1,0.0,12,90.9,90.4,na,4,0.25,310,0.07,0.39,1.808,0.066,2.031,68.7,2.073,55.84,42.95,22.11,73.83535874
1_051_B1_1_i,1,2,51,1,1,i,1,0.0,12,90.9,90.4,na,5,0.25,310,0.07,0.402,1.88,0.173,2.002,69.2,2.266,55.84,42.95,22.11,73.83535874
1_051_B1_1_i,1,2,51,1,1,i,1,0.0,12,90.9,90.4,na,6,0.25,310,0.07,0.397,1.944,0.133,2.223,84.0,2.259,55.84,42.95,22.11,73.83535874
1_061_B2_11_a,1,2,61,2,4,a,11,0.0,12,90.4,89.4,na,1,0.5,310,0.1,0.944,3.647,0.578,2.032,100.2,3.912,139.5,69.35,73.61,172.3023639
1_061_B2_11_a,1,2,61,2,4,a,11,0.0,12,90.4,89.4,na,2,0.5,310,0.1,0.894,3.51,0.683,2.171,101.5,3.643,139.5,69.35,73.61,172.3023639
1_061_B2_11_a,1,2,61,2,4,a,11,0.0,12,90.4,89.4,na,3,0.5,310,0.1,0.888,3.449,0.678,2.143,100.9,3.527,139.5,69.35,73.61,172.3023639
1_061_B2_11_a,1,2,61,2,4,a,11,0.0,12,90.4,89.4,na,4,0.5,310,0.1,0.896,3.582,0.687,2.162,100.5,3.795,139.5,69.35,73.61,172.3023639
1_061_B2_11_a,1,2,61,2,4,a,11,0.0,12,90.4,89.4,na,5,0.5,310,0.1,0.91,3.393,0.743,2.127,101.0,3.597,139.5,69.35,73.61,172.3023639
1_061_B2_11_a,1,2,61,2,4,a,11,0.0,12,90.4,89.4,na,6,0.5,310,0.1,0.91,3.393,0.743,2.127,101.0,3.597,139.5,69.35,73.61,172.3023639
1_061_B2_12_b,1,2,61,2,4,b,12,0.0,12,90.4,89.4,na,1,0.5,310,0.13,0.952,3.69,0.572,2.047,128.8,3.814,176.5,87.39,82.71,213.6122801
1_061_B2_12_b,1,2,61,2,4,b,12,0.0,12,90.4,89.4,na,2,0.5,310,0.13,1.167,4.506,0.428,1.945,129.2,4.704,176.5,87.39,82.71,213.6122801
1_061_B2_12_b,1,2,61,2,4,b,12,0.0,12,90.4,89.4,na,3,0.5,310,0.13,1.194,4.586,0.495,1.948,131.7,4.938,176.5,87.39,82.71,213.6122801
1_061_B2_12_b,1,2,61,2,4,b,12,0.0,12,90.4,89.4,na,4,0.5,310,0.13,1.153,4.587,0.439,1.973,127.7,4.761,176.5,87.39,82.71,213.6122801
1_061_B2_12_b,1,2,61,2,4,b,12,0.0,12,90.4,89.4,na,5,0.5,310,0.13,1.173,4.522,0.543,1.978,131.0,4.702,176.5,87.39,82.71,213.6122801
1_061_B2_12_b,1,2,61,2,4,b,12,0.0,12,90.4,89.4,na,6,0.5,310,0.13,1.104,4.347,0.582,2.037,132.6,4.554,176.5,87.39,82.71,213.6122801
1_061_B2_10_c,1,2,61,2,4,c,10,0.0,12,90.4,89.4,na,1,0.5,310,0.07,0.456,2.082,0.236,2.084,69.2,2.155,109.1,57.9,63.82,139.0259415
1_061_B2_10_c,1,2,61,2,4,c,10,0.0,12,90.4,89.4,na,2,0.5,310,0.07,0.453,2.134,0.169,2.066,67.9,2.235,109.1,57.9,63.82,139.0259415
1_061_B2_10_c,1,2,61,2,4,c,10,0.0,12,90.4,89.4,na,3,0.5,310,0.07,0.452,2.014,0.208,2.001,71.6,2.109,109.1,57.9,63.82,139.0259415
1_061_B2_10_c,1,2,61,2,4,c,10,0.0,12,90.4,89.4,na,4,0.5,310,0.07,0.451,1.952,0.227,1.949,70.4,2.015,109.1,57.9,63.82,139.0259415
1_061_B2_10_c,1,2,61,2,4,c,10,0.0,12,90.4,89.4,na,5,0.5,310,0.07,0.442,2.116,0.144,2.115,68.8,2.26,109.1,57.9,63.82,139.0259415
1_061_B2_10_c,1,2,61,2,4,c,10,0.0,12,90.4,89.4,na,6,0.5,310,0.07,0.445,1.979,0.168,2.003,69.4,2.118,109.1,57.9,63.82,139.0259415
1_061_B2_15_d,1,2,61,2,5,d,15,0.0,12,90.4,89.4,na,1,0.5,350,0.13,0.968,4.02,0.628,2.275,129.2,4.139,177.3,85.72,79.43,212.3495545
1_061_B2_15_d,1,2,61,2,5,d,15,0.0,12,90.4,89.4,na,2,0.5,350,0.13,0.96,4.045,0.648,2.293,129.6,4.21,177.3,85.72,79.43,212.3495545
1_061_B2_15_d,1,2,61,2,5,d,15,0.0,12,90.4,89.4,na,3,0.5,350,0.13,0.965,4.009,0.659,2.293,131.3,4.185,177.3,85.72,79.43,212.3495545
1_061_B2_15_d,1,2,61,2,5,d,15,0.0,12,90.4,89.4,na,4,0.5,350,0.13,0.978,4.096,0.643,2.269,133.1,4.284,177.3,85.72,79.43,212.3495545
1_061_B2_15_d,1,2,61,2,5,d,15,0.0,12,90.4,89.4,na,5,0.5,350,0.13,0.968,3.943,0.684,2.244,131.2,4.027,177.3,85.72,79.43,212.3495545
1_061_B2_15_d,1,2,61,2,5,d,15,0.0,12,90.4,89.4,na,6,0.5,350,0.13,0.969,4.111,0.625,2.3,131.4,4.23,177.3,85.72,79.43,212.3495545
1_061_B2_14_e,1,2,61,2,5,e,14,0.0,12,90.4,89.4,na,1,0.5,350,0.1,0.653,2.874,0.31,2.05,101.1,3.059,143.5,69.57,71.62,174.8189329
